2024-05-31 08:20:54,715 - Total number of samples: 875
2024-05-31 08:20:57,705 - Epoch: 1
2024-05-31 08:20:57,706 - Current Learning Rate: [0.01]
2024-05-31 08:20:59,037 - Batch [1 / 54], Loss: 137.528091
2024-05-31 08:21:00,075 - Batch [2 / 54], Loss: 95.255569
2024-05-31 08:21:01,161 - Batch [3 / 54], Loss: 90.991783
2024-05-31 08:21:02,254 - Batch [4 / 54], Loss: 92.052666
2024-05-31 08:21:03,355 - Batch [5 / 54], Loss: 95.652855
2024-05-31 08:21:04,474 - Batch [6 / 54], Loss: 96.147392
2024-05-31 08:21:05,609 - Batch [7 / 54], Loss: 127.276375
2024-05-31 08:21:06,759 - Batch [8 / 54], Loss: 126.642303
2024-05-31 08:21:07,922 - Batch [9 / 54], Loss: 104.635651
2024-05-31 08:21:09,111 - Batch [10 / 54], Loss: 79.377449
2024-05-31 08:21:10,293 - Batch [11 / 54], Loss: 99.331352
2024-05-31 08:21:11,479 - Batch [12 / 54], Loss: 103.582024
2024-05-31 08:21:12,707 - Batch [13 / 54], Loss: 104.130402
2024-05-31 08:21:13,947 - Batch [14 / 54], Loss: 75.220573
2024-05-31 08:21:15,241 - Batch [15 / 54], Loss: 92.269447
2024-05-31 08:21:16,542 - Batch [16 / 54], Loss: 104.206474
2024-05-31 08:21:17,837 - Batch [17 / 54], Loss: 102.777374
2024-05-31 08:21:19,126 - Batch [18 / 54], Loss: 69.384872
2024-05-31 08:21:20,412 - Batch [19 / 54], Loss: 96.461105
2024-05-31 08:21:21,715 - Batch [20 / 54], Loss: 104.398308
2024-05-31 08:21:23,030 - Batch [21 / 54], Loss: 85.185112
2024-05-31 08:21:24,352 - Batch [22 / 54], Loss: 77.503166
2024-05-31 08:21:25,681 - Batch [23 / 54], Loss: 71.186874
2024-05-31 08:21:27,006 - Batch [24 / 54], Loss: 86.323219
2024-05-31 08:21:28,363 - Batch [25 / 54], Loss: 82.391937
2024-05-31 08:21:29,739 - Batch [26 / 54], Loss: 86.664474
2024-05-31 08:21:31,135 - Batch [27 / 54], Loss: 91.311523
2024-05-31 08:21:32,539 - Batch [28 / 54], Loss: 73.285576
2024-05-31 08:21:34,001 - Batch [29 / 54], Loss: 71.485237
2024-05-31 08:21:35,489 - Batch [30 / 54], Loss: 87.739746
2024-05-31 08:21:36,985 - Batch [31 / 54], Loss: 76.466064
2024-05-31 08:21:38,506 - Batch [32 / 54], Loss: 70.129608
2024-05-31 08:21:40,031 - Batch [33 / 54], Loss: 68.588562
2024-05-31 08:21:41,571 - Batch [34 / 54], Loss: 70.140877
2024-05-31 08:21:43,110 - Batch [35 / 54], Loss: 58.690056
2024-05-31 08:21:44,608 - Batch [36 / 54], Loss: 65.463333
2024-05-31 08:21:46,128 - Batch [37 / 54], Loss: 52.190407
2024-05-31 08:21:47,630 - Batch [38 / 54], Loss: 58.513653
2024-05-31 08:21:49,113 - Batch [39 / 54], Loss: 65.204033
2024-05-31 08:21:50,612 - Batch [40 / 54], Loss: 63.007679
2024-05-31 08:21:52,099 - Batch [41 / 54], Loss: 57.005814
2024-05-31 08:21:53,599 - Batch [42 / 54], Loss: 51.285145
2024-05-31 08:21:55,103 - Batch [43 / 54], Loss: 43.365932
2024-05-31 08:21:56,613 - Batch [44 / 54], Loss: 63.134693
2024-05-31 08:21:58,143 - Batch [45 / 54], Loss: 49.066853
2024-05-31 08:21:59,623 - Batch [46 / 54], Loss: 46.368488
2024-05-31 08:22:01,163 - Batch [47 / 54], Loss: 44.270947
2024-05-31 08:22:02,715 - Batch [48 / 54], Loss: 45.231888
