2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:00:28,327 - Epoch: 1
2024-05-31 10:00:28,327 - Current Learning Rate: [0.01]
2024-05-31 10:00:30,085 - Batch [1 / 54], Loss: 93.516235
2024-05-31 10:00:30,578 - Batch [2 / 54], Loss: 104.117233
2024-05-31 10:00:30,967 - Batch [3 / 54], Loss: 87.797417
2024-05-31 10:00:31,306 - Batch [4 / 54], Loss: 117.406197
2024-05-31 10:00:31,616 - Batch [5 / 54], Loss: 82.967384
2024-05-31 10:00:32,462 - Batch [6 / 54], Loss: 100.224625
2024-05-31 10:00:33,132 - Batch [7 / 54], Loss: 95.790039
2024-05-31 10:00:33,927 - Batch [8 / 54], Loss: 95.648911
2024-05-31 10:00:34,426 - Batch [9 / 54], Loss: 85.453720
2024-05-31 10:00:35,090 - Batch [10 / 54], Loss: 86.243690
2024-05-31 10:00:35,612 - Batch [11 / 54], Loss: 88.724640
2024-05-31 10:00:36,131 - Batch [12 / 54], Loss: 86.813370
2024-05-31 10:00:36,623 - Batch [13 / 54], Loss: 94.595558
2024-05-31 10:00:37,448 - Batch [14 / 54], Loss: 110.549850
2024-05-31 10:00:38,040 - Batch [15 / 54], Loss: 111.729347
2024-05-31 10:00:38,696 - Batch [16 / 54], Loss: 81.718651
2024-05-31 10:00:39,242 - Batch [17 / 54], Loss: 83.865364
2024-05-31 10:00:39,746 - Batch [18 / 54], Loss: 85.729904
2024-05-31 10:00:40,487 - Batch [19 / 54], Loss: 86.940216
2024-05-31 10:00:41,072 - Batch [20 / 54], Loss: 79.388191
2024-05-31 10:00:41,845 - Batch [21 / 54], Loss: 83.935760
2024-05-31 10:00:42,333 - Batch [22 / 54], Loss: 72.246819
2024-05-31 10:00:42,833 - Batch [23 / 54], Loss: 80.161530
2024-05-31 10:00:43,322 - Batch [24 / 54], Loss: 87.132980
2024-05-31 10:00:43,851 - Batch [25 / 54], Loss: 83.352509
2024-05-31 10:00:44,248 - Batch [26 / 54], Loss: 69.535164
2024-05-31 10:00:44,580 - Batch [27 / 54], Loss: 72.372421
2024-05-31 10:00:45,018 - Batch [28 / 54], Loss: 78.479813
2024-05-31 10:00:45,395 - Batch [29 / 54], Loss: 68.839577
2024-05-31 10:00:45,725 - Batch [30 / 54], Loss: 73.115715
